"姓名","姓名＋出生年次","關係者姓名","關係者姓名＋出生年次","關係者如何稱呼該人物","關係開始時間","關係結束時間","資料來源"
"呂子昌","呂子昌1958","呂孫綾","呂孫綾1988","爸爸","1988","","https://github.com/ptstaiwan/pts-data"
"林文龍","林文龍1960","宋瑋莉","宋瑋莉1957","公公","1979.0","","https://github.com/ptstaiwan/pts-data"
"林家輝","林家輝1954","宋瑋莉","宋瑋莉1957","妻子","1979.0","2014.0","https://github.com/ptstaiwan/pts-data"
"李敖","李敖1937","李文","李文1964","爸爸","1964","","https://github.com/ptstaiwan/pts-data"
"李火土","李火土","李旻蔚","李旻蔚1988","爺爺","1988","","https://github.com/ptstaiwan/pts-data"
"黃書禹","黃書禹","李旻蔚","李旻蔚1988","媽媽","1988","","https://github.com/ptstaiwan/pts-data"
"陳菊","陳菊1950","李昆澤","李昆澤1964","阿姨","1964","","https://github.com/ptstaiwan/pts-data"
"李和順","李和順1952","李武龍","李武龍1976","爸爸","1976","","https://github.com/ptstaiwan/pts-data"
"李金璋","李金璋1946","李彥秀","李彥秀1971","爸爸","1971","","https://github.com/ptstaiwan/pts-data"
"侯冠群","侯冠群1965","李彥秀","李彥秀1971","丈夫","2008.0","","https://github.com/ptstaiwan/pts-data"
"李福人","李福人","李彥秀","李彥秀1971","爺爺","1971","","https://github.com/ptstaiwan/pts-data"
"李煥","李煥","李慶安","李慶安1959","爸爸","1959","","https://github.com/ptstaiwan/pts-data"
"李煥","李煥","李慶華","李慶華1948","爸爸","1948","","https://github.com/ptstaiwan/pts-data"
"李嘉進","李嘉進1957","李縉穎","李縉穎1985","爸爸","1985","","https://github.com/ptstaiwan/pts-data"
"李騰輝","李騰輝","李鴻鈞","李鴻鈞1959","爸爸","1959","","https://github.com/ptstaiwan/pts-data"
"李鴻源","李鴻源","李鴻鈞","李鴻鈞1959","哥哥","1959","","https://github.com/ptstaiwan/pts-data"
"周典論","周典論1955","周佳琪","周佳琪1983","爸爸","1983","","https://github.com/ptstaiwan/pts-data"
"林三郎","林三郎2002","林岱樺","林岱樺1972","爸爸","1972","","https://github.com/ptstaiwan/pts-data"
"林源朗","林源朗","林明溱","林明溱1951","叔公","1951","","https://github.com/ptstaiwan/pts-data"
"林洋港","林洋港1927","林明溱","林明溱1951","叔公","1951","","https://github.com/ptstaiwan/pts-data"
"林昭賢","林昭賢1978","林奕華","林奕華1968","爸爸","1968","","https://github.com/ptstaiwan/pts-data"
"何欣純","何欣純1973","林昶佐","林昶佐1976","表姐","1976","","https://github.com/ptstaiwan/pts-data"
"林淑滿","林淑滿1946","林昶佐","林昶佐1976","姑姑","1976","","https://github.com/ptstaiwan/pts-data"
"林仙保","林仙保1935","林益世","林益世1968","爸爸","1968","","https://github.com/ptstaiwan/pts-data"
"林滄喜","林滄喜1947","林滄敏","林滄敏1958","哥哥","1958","","https://github.com/ptstaiwan/pts-data"
"邱垂益","邱垂益1950","邱烽堯","邱烽堯1973","爸爸","1973","","https://github.com/ptstaiwan/pts-data"
"邱慶德","邱慶德","邱議瑩","邱議瑩1971","爺爺","1971","","https://github.com/ptstaiwan/pts-data"
"邱茂男","邱茂男1942","邱議瑩","邱議瑩1971","爸爸","1971","","https://github.com/ptstaiwan/pts-data"
"邱名璋","邱名璋1974","邱議瑩","邱議瑩1971","弟弟","1971","","https://github.com/ptstaiwan/pts-data"
"柯文福","柯文福","柯志恩","柯志恩1962","爸爸","1962","","https://github.com/ptstaiwan/pts-data"
"郭素春","郭素春1955","洪孟楷","洪孟楷1983","媽媽","1983","","https://github.com/ptstaiwan/pts-data"
"徐志明","徐志明1957","徐慶煌","徐慶煌1976","爸爸","1976","","https://github.com/ptstaiwan/pts-data"
"秦金生","秦金生","秦詩雁","秦詩雁1972","爸爸","1972","","https://github.com/ptstaiwan/pts-data"
"馬榮吉","馬榮吉","馬文君","馬文君1965","爸爸","1965","","https://github.com/ptstaiwan/pts-data"
"馬長風","馬長風1969","馬文君","馬文君1965","弟弟","1965","","https://github.com/ptstaiwan/pts-data"
"曾振農","曾振農1951","張花冠","張花冠1954","丈夫","","2008.0","https://github.com/ptstaiwan/pts-data"
