姓名,姓名＋出生年次,關係者姓名,關係者姓名＋出生年次,關係者如何稱呼該人物,關係開始時間,關係結束時間,資料來源
陳泓維,陳泓維1987,陳秋喜,1962,兒子,1987,,https://github.com/ptstaiwan/pts-data
陳亭妃,陳亭妃1974,陳佳照,,女兒,1974,,https://github.com/ptstaiwan/pts-data
陳美雅,陳美雅1970,陳明吉,1950,女兒,1970,,https://github.com/ptstaiwan/pts-data
陳超明,陳超明1951,陳錫坤,,兒子,1951,,https://github.com/ptstaiwan/pts-data
陳瑩,陳瑩1972,陳建年,1947,女兒,1972,,https://github.com/ptstaiwan/pts-data
陳麗娜,陳麗娜1970,楊振添,1944,兒媳,2015,,https://github.com/ptstaiwan/pts-data
陳麗娜,陳麗娜1970,楊敏郎,1967,妻子,2015,,https://github.com/ptstaiwan/pts-data
彭俊豪,彭俊豪1982,彭添富,1951,兒子,1982,,https://github.com/ptstaiwan/pts-data
黃志雄,黃志雄1976,何玉枝,1960,外甥,1976,,https://github.com/ptstaiwan/pts-data
黃昭順,黃昭順1953,陳雲龍,1957,妻子,,,https://github.com/ptstaiwan/pts-data
黃昭順,黃昭順1953,王崇儀,,妻子,,,https://github.com/ptstaiwan/pts-data
黃昭順,黃昭順1953,黃尊秋,,女兒,1953,,https://github.com/ptstaiwan/pts-data
黃柏霖,黃柏霖1967,黃正忠,1950,孫子,1967,,https://github.com/ptstaiwan/pts-data
黃柏霖,黃柏霖1967,黃啟川,1961,姪子,1967,,https://github.com/ptstaiwan/pts-data
黃柏霖,黃柏霖1967,侯彩鳳,1952,姪子,1967,,https://github.com/ptstaiwan/pts-data
黃健庭,黃健庭1959,黃鏡峰,,兒子,1959,,https://github.com/ptstaiwan/pts-data
黃韻涵,黃韻涵1984,陸淑美,1962,女兒,1984,,https://github.com/ptstaiwan/pts-data
楊曜,楊曜1966,楊夷狄,,兒子,1966,,https://github.com/ptstaiwan/pts-data
楊瓊瓔,楊瓊瓔1964,楊元芳,,孫女,1964,,https://github.com/ptstaiwan/pts-data
葉宜津,葉宜津1960,葉棟樑,,女兒,1960,,https://github.com/ptstaiwan/pts-data
劉銓忠,劉銓忠1942,劉松藩,1931,姪子,1942,,https://github.com/ptstaiwan/pts-data
歐崇敬,歐崇敬1967,林金莖,,外姪孫,1967,,https://github.com/ptstaiwan/pts-data
蔡宜芳,蔡宜芳1990,蔡崇銘,1962,女兒,1990,,https://github.com/ptstaiwan/pts-data
蔡易餘,蔡易餘1981,蔡啟芳,1954,兒子,1981,,https://github.com/ptstaiwan/pts-data
蔡育輝,蔡育輝1959,蔡登瀛,1935,兒子,1959,,https://github.com/ptstaiwan/pts-data
蔣乃辛,蔣乃辛1948,蔣淦生,,兒子,1948,,https://github.com/ptstaiwan/pts-data
蔣孝嚴,蔣孝嚴1941,蔣經國,,兒子,1941,,https://github.com/ptstaiwan/pts-data
蔣萬安,蔣萬安1978,蔣孝嚴,1941,兒子,1978,,https://github.com/ptstaiwan/pts-data
蔣萬安,蔣萬安1978,蔣經國,,孫子,1978,,https://github.com/ptstaiwan/pts-data
鄭汝芬,鄭汝芬1957,謝言信,1929,兒媳,,,https://github.com/ptstaiwan/pts-data
鄭朝方,鄭朝方1980,鄭永金,1949,兒子,1980,,https://github.com/ptstaiwan/pts-data
賴品妤,賴品妤1992,賴勁麟,1962,女兒,1992,,https://github.com/ptstaiwan/pts-data
戴寧,戴寧1982,戴建三,1943,女兒,1982,,https://github.com/ptstaiwan/pts-data
謝衣鳯,謝衣鳯1977,謝言信,1929,孫女,1977,,https://github.com/ptstaiwan/pts-data
謝衣鳳,謝衣鳳1977,謝言信,1929,孫女,1977,,https://github.com/ptstaiwan/pts-data
謝淑亞,謝淑亞1960,廖福本,1938,兒媳,,,https://github.com/ptstaiwan/pts-data
鍾易仲,鍾易仲1982,鍾紹和,1956,兒子,1982,,https://github.com/ptstaiwan/pts-data
鍾紹和,鍾紹和1956,鍾榮吉,,姪子,1956,,https://github.com/ptstaiwan/pts-data
簡肇棟,簡肇棟1955,張芬郁,1958,丈夫,,,https://github.com/ptstaiwan/pts-data
顏寬恒,顏寬恒1977,顏清標,1960,兒子,1977,,https://github.com/ptstaiwan/pts-data
羅明才,羅明才1967,羅福助,1943,兒子,1967,,https://github.com/ptstaiwan/pts-data
蘇巧慧,蘇巧慧1976,蘇貞昌,1947,女兒,1976,,https://github.com/ptstaiwan/pts-data
蘇治芬,蘇治芬1953,蘇東啟,1966,女兒,1953,,https://github.com/ptstaiwan/pts-data
蘇治芬,蘇治芬1953,蘇洪月嬌,1931,女兒,1953,,https://github.com/ptstaiwan/pts-data
蘇治芬,蘇治芬1953,蘇治洋,1952,妹妹,1953,,https://github.com/ptstaiwan/pts-data
蘇治芬,蘇治芬1953,蘇勳璧,,姊姊,,,https://github.com/ptstaiwan/pts-data
蘇震清,蘇震清1965,蘇嘉川,,兒子,1965,,https://github.com/ptstaiwan/pts-data
蘇震清,蘇震清1965,蘇嘉全,1956,姪子,1965,,https://github.com/ptstaiwan/pts-data
